Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
2 Bedroom Apartment;Centurion;Wierda Park;2;1;3;160 m²;Matthysen Property Group;9750
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;1;162 m²;Urban Property Group;26000
1 Bedroom Apartment;Centurion;Lyttelton Manor;1;1;1;69 m²;CSi Property Group;3900
2 Bedroom Apartment;Centurion;Rooihuiskraal North;2;1;1;64 m²;EXP South Africa;7200
2 Bedroom Apartment;Centurion;Heuweloord;2;1;2;72 m²;Property.CoZa - Unlimited;7600
3 Bedroom Apartment;Centurion;Wierda Park;3;2;1;217 m²;EXP South Africa;10500
2 Bedroom Apartment;Centurion;Monavoni;2;1;2;124 m²;Chas Everitt Centurion;7500
3 Bedroom Apartment;Centurion;Die Hoewes;3;2;1;;RVE Property Group;12500
2 Bedroom Apartment;Centurion;Monavoni;2;1;1;;RealNet Midstream Estates (Pty) Ltd;7500
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;2;;Pam Golding Properties - Centurion Rentals;35000
1 Bedroom Apartment;Centurion;Die Hoewes;1;1;2;;Real Estate Services;7200
3 Bedroom Apartment;Centurion;Midstream Estate;3;3;1;;Plus Group Properties;35000
2 Bedroom Apartment;Centurion;Golden Fields Estate;2;1;1;;Midteam Management Services;14000
3 Bedroom Apartment;Centurion;Erasmia;3;1;2;;;6500
2 Bedroom Apartment;Centurion;Raslouw;2;2;2;;;8500
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;;;;35000
3 Bedroom Apartment;Centurion;Eldo Lakes Estate;3;2;;;;12400
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;149 m²;Mandated;25000
2 Bedroom Apartment;Centurion;Amberfield;2;1;1;60 m²;CSi Property Group;9500
3 Bedroom Apartment;Centurion;Clubview;3;2;2;83 m²;Tyson Properties Pretoria New East;10500
2 Bedroom Apartment;Centurion;Midfield Estate;2;2;2;198 m²;Seeff Centurion;30000
2 Bedroom Apartment;Centurion;Celtisdal;2;1;1;99 m²;1st Choice Family Homes Newlands;8900
2 Bedroom Apartment;Centurion;Centurion Golf Estate;2;2;2;70 m²;Ndaka Property Group;16500
2 Bedroom Apartment;Centurion;Monavoni AH;2;1;1;306 m²;Trafalgar Property Management - Pretoria;7500
2 Bedroom Apartment;Centurion;Die Hoewes;2;2;1;56 m²;Chas Everitt Centurion;8250
3 Bedroom Apartment;Centurion;Celtisdal;3;2;2;83 m²;Vision Properties;10800
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2.5;2;114 m²;CSi Property Group;35000
2 Bedroom Apartment;Centurion;Celtisdal;2;2;1;61 m²;RealNet Midstream Estates (Pty) Ltd;7900
2 Bedroom Apartment;Centurion;Heuweloord;2;1;2;200 m²;Tyson Properties Pretoria New East;7900
2 Bedroom Apartment;Centurion;Raslouw;2;1;2;95 m²;RealNet Midstream Estates (Pty) Ltd;9750
2 Bedroom Apartment;Centurion;Raslouw AH;2;1;2;;RealNet Centurion Core Properties;9750
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;2;;Midteam Management Services;24500
3 Bedroom Apartment;Centurion;Clubview;3;2;2;;M & T Homes;10500
2 Bedroom Apartment;Centurion;Midstream Estate;2;2;1;;;25000
2 Bedroom Apartment;Centurion;The Reeds Ext 10;2;1;2;;;7500
2 Bedroom Apartment;Centurion;Rooihuiskraal North;2;1;3;;;9500
3 Bedroom Apartment;Centurion;Midfield Estate;3;3;2;;;45000
3 Bedroom Apartment;Centurion;Monavoni;3;2;;;;13050
3 Bedroom Apartment;Centurion;Die Hoewes;3;2;2;114 m²;RealNet Centurion Core Properties;12490
3 Bedroom Apartment;Centurion;Highveld;3;2;2;173 m²;Renmor Eiendomme;7400
2 Bedroom Apartment;Centurion;Midfield Estate;2;2;2;72 m²;Seeff Centurion;26000
2 Bedroom Apartment;Centurion;Ascend to Midstream;2;2;2;72 m²;Midteam Management Services;24500
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;1;208 m²;Plus Group Properties;8250
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;150 m²;Centridge;8500
2 Bedroom Apartment;Centurion;Mnandi;2;1;2;111 m²;Plus Group Properties;7300
2 Bedroom Apartment;Centurion;Raslouw;2;2;1;102 m²;Sugar Realty;8500
1 Bedroom Apartment;Centurion;Hennopspark;1;1;2;195 m²;3%.Com Properties - Neil Esterhuysen & Associates Inc Centurion;5500
